date,type,price,size,stop_price,capital,pnl
2023-06-11,SELL,3652.0,2,,78575.69099999998,-40.0
2023-06-13,BUY,3739.0,1,3630.0,78527.08399999997,
2023-06-19,SELL,3743.0,1,,78518.42499999997,40.0
2023-06-25,BUY,3667.0,1,3556.99,78470.75399999997,
2023-06-29,SELL,3721.0,1,,78962.38099999996,540.0
2023-07-03,BUY,3768.0,2,3700.0,78864.41299999997,
2023-07-05,SELL,3758.0,2,,78566.70499999997,-200.0
2023-07-09,SELL,3654.0,-1,3770.0,78519.20299999998,
2023-07-11,BUY,3716.0,-1,,77850.89499999997,-620.0
2023-07-13,BUY,3774.0,1,3659.0,77801.83299999997,
2023-07-17,SELL,3749.0,1,,77503.09599999998,-250.0
2023-07-19,BUY,3784.0,1,3681.0,77453.90399999998,
2023-07-23,SELL,3793.0,1,,77494.59499999999,90.0
2023-07-25,BUY,3851.0,2,3787.0,77394.46899999998,
2023-08-02,SELL,3728.0,2,,74837.54099999998,-2460.0
2023-08-04,SELL,3736.0,-1,3871.0,74788.97299999998,
2023-08-14,BUY,3694.0,-1,,75160.95099999999,420.0
2023-08-18,SELL,3700.0,-5,3730.0,74920.45099999999,
2023-08-22,BUY,3723.0,-5,,73528.45599999999,-1150.0
2023-08-24,SELL,3716.0,-3,3755.0,73383.53199999999,
2023-08-30,BUY,3740.0,-3,,72517.67199999999,-720.0
2023-09-01,BUY,3778.0,1,3672.0,72468.55799999999,
2023-09-03,SELL,3770.0,1,,72339.548,-80.0
2023-09-05,BUY,3817.0,2,3758.0,72240.306,
2023-09-07,SELL,3717.0,2,,70143.66399999999,-2000.0
2023-09-11,BUY,3791.0,1,3711.0,70094.381,
2023-09-19,SELL,3842.0,1,,70554.435,510.0
2023-09-25,SELL,3675.0,-1,3850.0,70506.66,
2023-09-27,BUY,3690.0,-1,,70308.69,-150.0
2023-10-09,SELL,3610.0,-1,3717.0,70261.76000000001,
2023-10-11,BUY,3627.0,-1,,70044.60900000001,-170.0
2023-10-13,SELL,3620.0,-10,3634.0,69574.009,
2023-10-15,BUY,3657.0,-10,,65398.599,-3700.0
2023-10-17,SELL,3615.0,-2,3663.0,65304.609000000004,
2023-10-23,BUY,3630.0,-2,,64910.22900000001,-300.0
2023-10-27,BUY,3724.0,1,3634.0,64861.81700000001,
2023-11-06,SELL,3791.0,1,,65482.53400000001,670.0
2023-11-08,BUY,3853.0,1,3780.0,65432.44500000001,
2023-11-12,SELL,3872.0,1,,65572.10900000001,190.0
2023-11-14,BUY,3920.0,1,3853.0,65521.14900000001,
2023-11-22,SELL,3934.0,1,,65610.007,140.0
2023-11-24,BUY,3976.0,1,3896.0,65558.319,
2023-11-26,SELL,3959.0,1,,65336.852000000006,-170.0
2023-11-30,BUY,3923.0,3,3883.0,65183.855,
2023-12-04,SELL,3870.0,3,,63442.925,-1590.0
2023-12-06,BUY,4011.0,1,3855.0,63390.78200000001,
2023-12-10,SELL,4025.0,1,,63478.45700000001,140.0
